John,Doe,john.doe@gmail.com,Baker Street,7,London,09/12/77
Alexia,Doe,alexia@gmail.com,Peace Street,42,London,12/03/13
François,Pignon,FP23@yahoo.fr,Rue de la Paix,3,Paris,21/07/95
Tux,Tux,tux@linux.com,Opensource streeet,5,GNU,10/12/23
Neo,Anderson,neo@matrix.com,The Matrix,0101,Cyber,10/12/00
Mortheus,M,Morpheus@matrix.com,The Matrix,23,Zion,10/12/93
Mickey,Mouse,Mickey@disney.com,DisneyWorld,1,Los Angeles,10/12/85
Donald,Duck,Donald.Duck@disney.com,DisneyWorld,9,Los Angeles,10/08/91
Albert,King,King@B.com,Memphis,45,BluesVille,20/12/95
,,,,,,06/11/24
,,,,,,06/11/24
,,,,,,06/11/24
,,,,,,06/11/24
